Size InPlaceInsertion InPlaceSelection InPlaceHeap MergeSort QuickSort
1000 10 13 2 2 1
2000 53 34 9 5 2
3000 18 13 3 7 5
4000 32 17 1 3 0
5000 38 27 2 3 1
6000 78 37 1 1 1
7000 67 52 2 1 1
8000 87 119 2 2 1
9000 111 103 3 2 1
10000 58 85 2 2 1
11000 102 98 2 2 1
12000 89 123 4 2 1
13000 104 134 2 2 1
14000 126 163 3 2 2
15000 127 205 3 2 2
16000 158 224 3 3 2
17000 171 247 5 3 2
18000 225 289 4 3 2
19000 230 311 3 3 3
20000 250 356 4 4 2
21000 290 394 4 4 3
22000 308 429 4 3 3
23000 336 475 6 5 2
24000 373 528 6 4 3
25000 418 564 5 4 4
26000 469 630 5 6 3
27000 492 663 6 6 3
28000 536 725 7 5 3
29000 573 782 6 5 4
30000 610 838 7 5 3
31000 656 890 7 6 4
32000 779 981 8 5 4
33000 749 1011 7 5 4
34000 793 1091 7 7 4
35000 955 1167 8 5 4
36000 903 1249 9 6 5
37000 973 1329 9 6 4
38000 1021 1396 9 7 5
39000 1088 1496 9 6 5
40000 1131 1574 9 7 5
41000 1215 1649 10 7 6
42000 1274 1730 10 7 5
43000 1404 1810 10 8 6
44000 1409 1905 12 8 7
45000 1464 2032 9 9 6
46000 1543 2111 10 9 6
47000 1700 2195 10 9 7
48000 1688 2310 11 8 7
49000 1839 2439 12 9 7
50000 1930 2510 12 9 6
51000 1923 2598 11 9 7
52000 1975 2808 12 12 7
53000 2093 2856 12 10 8
54000 2171 2971 14 11 7
55000 2249 3203 14 11 7
56000 2398 3213 13 10 9
57000 2440 3347 14 10 7
58000 2521 3436 15 12 8
59000 2718 3560 16 11 9
60000 2735 3984 14 10 8
61000 2890 3892 15 12 8
62000 2933 3924 16 12 8
63000 3050 4171 16 12 8
64000 3143 4273 15 14 9
65000 3188 4296 18 13 9
66000 3310 4472 16 12 10
67000 3546 4728 18 14 10
68000 3552 4781 17 13 10
69000 3651 4969 18 12 10
70000 3871 5071 17 13 9
71000 4045 5285 18 13 9
72000 4128 5364 17 13 11
73000 4093 5931 23 15 12
74000 4404 5735 21 14 11
75000 4377 5963 18 14 10
76000 4527 6076 19 16 10
77000 4707 6219 24 17 11
78000 4770 6356 20 16 11
79000 4920 6648 23 15 12
80000 5054 6793 23 16 13
81000 5118 6924 21 15 12
82000 5393 7118 23 16 12
83000 5456 7383 21 15 11
84000 5551 7485 21 18 13
85000 5800 7669 25 18 11
86000 5799 7917 24 15 11
87000 5937 7987 22 18 13
88000 6161 8201 24 17 13
89000 6347 8503 25 19 14
90000 6303 8821 27 18 15
91000 6638 8944 24 17 12
92000 6727 9039 24 18 15
93000 6869 9297 29 19 14
94000 7088 9401 26 20 13
95000 7176 9639 26 17 14
96000 7352 9898 27 20 14
97000 7483 10113 29 19 13
98000 7654 10385 29 18 15
99000 7806 10597 26 20 16
100000 8057 10893 28 19 14
